Screen Name,Tweet ID,Dates,Tweets
OilGasMalaysia,521454894088466433,10/13/2014,"Dropping Oil Prices Send Shockwaves Through Energy Sector - http://t.co/2dne6NGwRE http://t.co/hRUXjEQGCz"
OilBRK,521504281375948800,10/13/2014,"Oil prices down in Asian trade as weak demand weighs: Oil prices fell in Asian trade Monday on growi... http://t.co/yuL4D0FPx7 #Oil #BRK"
OilBRK,521521073494298624,10/13/2014,"Oil prices down in Asian trade as weak demand weighs: SINGAPORE: Oil prices fell in Asian trade Mond... http://t.co/RNBIRiQCu3 #Oil #BRK"
OilBRK,521589654420590592,10/13/2014,"Oil price down again on growth fears: Global oil prices fall again with Brent crude at a near four-y... http://t.co/AHUrTYORK2 #Oil #BRK"
OilBRK,521599296387293185,10/13/2014,"Oil heads for four-year low on Saudi output signal: Brent crude oil fell below $88 a barrel on Monda... http://t.co/O4JUbdFQ5o #Oil #BRK"
OilVoice,521614654028918784,10/13/2014,"Petrodollars: As oil prices plummet, the squeeze grows on balance sheets http://t.co/Ozx9smfcQK"
OilBRK,521639406768115713,10/13/2014,"Falling Oil Price And Energy Stocks: For some, like those producing shale oil, this seems warranted ... http://t.co/kjKMVcyQLY #Oil #BRK"
anwaribrahim,521692239194378240,10/13/2014,"RT @2sayornot2say: Crude oil prices have fallen down to a 4-yr low after Iraq cut down prices http://t.co/yLrUPr43xC http://t.co/3kcqGzcIu0…"
EnergyTomorrow,521699933917696000,10/13/2014,"#Fracking has helped increase U.S. oil production 65% in the past five years, driving down gas prices. http://t.co/p7g0UuEGRf"
OilGasMalaysia,521734149594710016,10/13/2014,"Dropping Oil Prices Send Shockwaves Through Energy Sector - NASDAQ http://t.co/h9ovYANs4N"
OilBRK,521756345435832321,10/13/2014,"Linn Energy Investors Face Exposure to Deteriorating Oil Prices, Analysts Warn: According to Goldman... http://t.co/6HJYfN6Pue #Oil #BRK"
OilBRK,521756346044014592,10/13/2014,"Why drop in oil prices has downside for US economy: If you're a driver, a shipper or an airline, low... http://t.co/oaLKDJ8lAi #Oil #BRK"
OilBRK,521756346673139712,10/13/2014,"Oil resumes slide after OPEC shrugs off glut worries: New York (AFP) - Oil prices slid lower Monday,... http://t.co/A1vO6p4M1a #Oil #BRK"
OriginOil,521789608682864640,10/13/2014,"Mega-Fracking - This chart says it all. It's the daily price of U.S. WTI crude oil blend as of yesterday's close http://t.co/Jkb5c0fRBG"
OilBRK,521855306955894784,10/14/2014,"Oil price drop threatens to hit Russia, Iran harder than sanctions: A drop in global oil prices, dri... http://t.co/5xwqlcVtsg #Oil #BRK"
OilBRK,521862683620941824,10/14/2014,"Oil price drop threatens to hit Russia, Iran harder than sanctions: A drop in global oil prices, dri... http://t.co/Duawb6kjdY #Oil #BRK"
OilandGasInvest,522021876629913600,10/14/2014,"@DaveTownshend I doubt oil budgets get cut at $90--The Machine wants us to believe that to keep buying more stock. I bet $80 more like it."
CNNMoneyInvest,522035311740981248,10/14/2014,"Delta Airlines is up 5% today, but the #Ebola effect has pulled stock down for a month $DAL http://t.co/XgwT9i98mN"
OGJOnline,522039944207151104,10/14/2014,"RT @UOGRonline: If WTI falls to $80/bbl for months, we'll likely see reduced drilling in US tight oil plays, says Greg Pardy, cohead of ene…"
CNBCnow,522062254288945153,10/14/2014,"$WTI crude oil currently lower by nearly 2%; it has not closed below $84 since July 10, 2012 » http://t.co/WGrnzMV9je"
CNBCnow,522092709545533440,10/14/2014,"ALERT: Crude oil continues sell off, falls below $82:http://t.co/ibcvfpZFf4"
OilGasMalaysia,522099366073741312,10/14/2014,"Oil amp; Gas Stock Roundup: Targa, Atlas to Combine Pipeline Assets for $7.7B - http://t.co/cLYEIkgSfx http://t.co/ToLj6vbhjS"
OilBRK,522099390589046784,10/14/2014,"Oil &amp; Gas Stock Roundup: Targa, Atlas to Combine Pipeline Assets for $7.7B: It was a week where unit... http://t.co/4FHmiVoT1b #Oil #BRK"
EnergyTomorrow,522105111980802048,10/14/2014,"RT @seanhackbarth: Don't fret, lifting oil export ban won’t raise gas prices http://t.co/VAHXkRulh6 http://t.co/3aTJ0zRPJN"
CNNMoneyInvest,522109431182807040,10/14/2014,"Good, but not great earnings for JPMorgan weren't enough for investors. $JPM stock now down http://t.co/HYzEfynFrk http://t.co/W3IT9xNosC"
CNNMoneyInvest,522116445036367872,10/14/2014,"GoPro stock comes back from stratosphere. It closed at $75 a share today, down a lot from $98 http://t.co/akUUbz8pwi http://t.co/ByCOaGkdLz"
CNNMoneyInvest,522141486838988800,10/14/2014,"The stock market scare: 3 key numbers to watch http://t.co/dCYRG5CJCn $SPY $VIX http://t.co/JHbI2RWmml"
OilGasMalaysia,522352435470557184,10/15/2014,"Oil &amp; Gas Stock Roundup: Targa, Atlas to Combine Pipeline Assets for $7.7B ... - NASDAQ http://t.co/2oj87p4DV5"
CNNMoneyInvest,522365475834331136,10/15/2014,"Oil prices are plunging. Russia gets over 50% of budget from oil &amp; gas. Guess who's worried? http://t.co/skqdtQ9TGS http://t.co/d7APazqHa1"
LaOilGasAssoc,522369159145857024,10/15/2014,"Washington Post: Oil prices plunge as production rises, fueling concern in OPEC - http://t.co/5gdp04CQZT - The Washington Post ..."
OilGasMalaysia,522372642696093697,10/15/2014,"Norway's Statoil Sells Share In Caspian Oil Field For $2.25 Billion - NASDAQ http://t.co/4lcddXCqiA"
OilBRK,522377589545910274,10/15/2014,"OIL KEEPS CRASHING: Crude oil is now within a hair's breadth of $80... http://t.co/DgZoG79hSF #Oil #BRK"
OilBRK,522377832605827072,10/15/2014,"Oil Prices: Up So Long, It Looks Like Down To Me: The drop in oil prices has shocked many observers,... http://t.co/F6U6iU10Ua #Oil #BRK"
CNBCnow,522397386547929089,10/15/2014,"Avis Budget increases stock buyback program to $375M, an increase of $200M. • $CAR"
EnergyTomorrow,522404060331122689,10/15/2014,"RT @EnergyfromShale: Ending a 40-year old ban on U.S. crude oil #exports would not raise domestic gasoline prices http://t.co/6FH36vuoz0"
OilBRK,522440498066112513,10/15/2014,"Oil prices keep sliding. But extracting crude just gets pricier.: Oil prices continue to drop to mul... http://t.co/mCqEbNMbGe #Oil #BRK"
OilBRK,522455161814257665,10/15/2014,"Oil prices keep falling. But producing crude just gets more expensive.: Oil prices continue to drop ... http://t.co/30ksDupYcG #Oil #BRK"
OilBRK,522472524332806144,10/15/2014,"Crude oil prices keep falling. But oil production just gets more expensive.: Crude oil prices contin... http://t.co/nj3pxpcaSV #Oil #BRK"
OilBRK,522495780750254080,10/15/2014,"Crude oil prices continue slide. Who wins? Who loses?: Plummeting crude oil prices are good news for... http://t.co/tPaBuzcyRU #Oil #BRK"
OilGasMalaysia,522528435089186816,10/15/2014,"Oil amp; Gas Stock Roundup: Targa, Atlas to Combine Pipeline Assets for $7.7B - http://t.co/cLYEIkgSfx http://t.co/exU5lmGrY9"
OilBRK,522538261252554752,10/16/2014,"Crude oil prices continue slide. Who wins? Who loses? (+video): Plummeting crude oil prices are good... http://t.co/0KbXAinhia #Oil #BRK"
OilBRK,522545471508606976,10/16/2014,"Oil And Gas Prices: How Low Will They Go?: Crude oil prices continue to slide on surging production ... http://t.co/0607Uze6hU #Oil #BRK"
PlattsOil,522589189314195456,10/16/2014,"Karunakaran Hari, Cairn India, at Asian Crude Oil Summit: We expect Indian gas prices to be set at $6.5-7.5/MMBtu. ^VH #PlattsCOS"
PlattsOil,522591214072528898,10/16/2014,"Audience poll at Asian Crude Oil Summit: 69% think US tight oil output will drop if prices fall below $80. ^VH #PlattsCOS"
PlattsOil,522656144314347520,10/16/2014,"Amrita Sen, Energy Aspects, at Crude Oil Summit: Saudi Arabia can tolerate even $75/b in the short term to keep market share. ^VH #PlattsCOS"
LaOilGasAssoc,522703043410673664,10/16/2014,"Washington Post: Oil prices plunge as production rises, fueling concern in OPEC - http://t.co/5gdp04CQZT - The Washington Post ..."
Oil_Trader,522726108765368320,10/16/2014,"#exportusoil U.S. gasoline prices and lifting the U.S. oil export ban http://t.co/gAgT7bIkCH via @reuters"
LaOilGasAssoc,522737346324623360,10/16/2014,"Reuters: Southwestern Energy to buy certain oil and gas assets for $5.37 bln - http://t.co/nms2vZn4jn - Reuters reports:Oct 16 ..."
OGJOnline,522757748690128896,10/16/2014,"RT @sweethomealaska: Saudi Arabia's interests are served by a lower crude oil price b/c it weakens Iran. http://t.co/Khqy7opVjL via Bob Tip…"
OilBRK,522780053986230273,10/16/2014,"ND oil regulator: Price drop could slow drilling: Recent oil price drops could halt drilling in seve... http://t.co/NYJCWSK5SI #Oil #BRK"
OilBRK,522862963598704640,10/16/2014,"Oil rises on tight U.S. gasoline stocks, options expiry: Oil prices rose in volatile trade on Thursd... http://t.co/8SK6ARY7wn #Oil #BRK"
LaOilGasAssoc,523000583150526464,10/17/2014,"Reuters: Southwestern Energy to buy certain oil and gas assets for $5.37 bln - http://t.co/nms2vZn4jn - Reuters reports:Oct 16 ..."
BBCBusiness,523063633757356033,10/17/2014,"Which countries will win and which will lose out as crude oil prices plunge? http://t.co/8wIBDlDA7o"
OilBRK,523085513511534593,10/17/2014,"Oil Collapse Gives Buyers Chance at Top Targets: Real M&amp;A: The rapid drop in oil prices cut more tha... http://t.co/fXVB910jzE #Oil #BRK"
OilBRK,523085514203607042,10/17/2014,"Oil rises to $87 as investors say market oversold: Brent crude oil rose more than a dollar to around... http://t.co/gqtzEMNjFf #Oil #BRK"
LaOilGasAssoc,523100548975718402,10/17/2014,"Washington Post: Oil prices plunge as production rises, fueling concern in OPEC - http://t.co/5gdp04CQZT - The Washington Post ..."
OilGasMalaysia,523154386248544256,10/17/2014,"FTSE 250 movers: Oil stocks gain momentum as crude prices rebound - IFA Magazine http://t.co/5FZetWMcEl"
OilBRK,523177853177700352,10/17/2014,"Oil market claws back some losses: London (AFP) - World oil prices rebounded Friday on bargain-buyin... http://t.co/tDKCUDoFAj #Oil #BRK"
OilBRK,523208183397883904,10/17/2014,"Time to Protect the US Shale Revolution?: The recent plunge in oil prices may be welcome news to dri... http://t.co/62ic2KkghX #Oil #BRK"
OilBRK,523233333564542976,10/17/2014,"Oil Collapse Gives Buyers Chance at Top Targets: Real M&amp;A: The rapid drop in oil prices cut more tha... http://t.co/CwbEONwoZx #Oil #BRK"
OilGasMalaysia,523374234031362048,10/18/2014,"FTSE 250 movers: Oil stocks gain momentum as crude prices rebound - Yahoo Finance UK http://t.co/e5vgH40N25"
LaOilGasAssoc,523395765490565120,10/18/2014,"Reuters: Southwestern Energy to buy certain oil and gas assets for $5.37 bln - http://t.co/nms2vZn4jn - Reuters reports:Oct 16 ..."
OilGasMalaysia,523631126439821312,10/19/2014,"Petrofac on track to deliver FY net profit $580m-$600m - Stock Market Wire http://t.co/NN16n3a35v"
OilBRK,523829135211114496,10/19/2014,"No End in Sight for US Oil Production Boom: Falling oil and gasoline prices have sent oil company st... http://t.co/27eHVKevzE #Oil #BRK"
OilBRK,523920294751137793,10/19/2014,"World Crude Oil Production and the Oil Price: In April 2012 I published this post about World Crude ... http://t.co/moUjNsqHKT #Oil #BRK"
OilBRK,523984210487287809,10/19/2014,"Oil Workers Earning $179,000 Expose Norway to Crude Crash: Norway, where oil helped create one of th... http://t.co/nO3qcnjFDo #Oil #BRK"
OriginOil,524078281524789248,10/20/2014,"Mega-Fracking - This chart says it all. It's the daily price of U.S. WTI crude oil blend as of yesterday's close http://t.co/Jkb5c0fRBG"
oilandgasnews,524127612567060480,10/20/2014,"RT @CtdReports: @oilandgasnews when the oil prices are low, this would free budget for the country to prosper. good move #goindia"
OilBRK,524135184665284609,10/20/2014,"Is the oil price fall more than just a coincidence?: The recent drop in oil prices could be due to m... http://t.co/45jfGDbvT1 #Oil #BRK"
OilBRK,524135185353150465,10/20/2014,"Oil price fall more than a coincidence?: The recent drop in oil prices could be due to more than jus... http://t.co/egFWM1x8Dy #Oil #BRK"
OilBRK,524151892570423296,10/20/2014,"How Cheap Oil Could Become a Real Problem for Airlines: If crude oil is priced under $100 per barrel... http://t.co/gmJFGWxVBy #Oil #BRK"
OilBRK,524187742192664577,10/20/2014,"How Cheap Oil Could Become a Real Problem for Airlines: If crude oil is priced under $100 per barrel... http://t.co/mKnwxxJhkV #Oil #BRK"
OilBRK,524189149348122625,10/20/2014,"Is the oil price fall more than just a coincidence?: The recent drop in oil prices could be due to m... http://t.co/gPxO5B2mri #Oil #BRK"
